
### Skeleton (220)
FJ3312   FMA32639   bone organ Proximal phalanx of left fourth toe
FJ3313   FMA71915   bone organ Proximal phalanx of left index finger
FJ3314   FMA66791   bone organ Proximal phalanx of left little finger
FJ3315   FMA32641   bone organ Proximal phalanx of left little toe
FJ3316   FMA71908   bone organ Proximal phalanx of left middle finger
FJ3317   FMA71916   bone organ Proximal phalanx of left ring finger
FJ3328   FMA32635   bone organ Proximal phalanx of left second toe
FJ3311   FMA32637   bone organ Proximal phalanx of left third toe
FJ3318   FMA65470   bone organ Proximal phalanx of left thumb
FJ3310   FMA43253   bone organ Proximal phalanx of right big toe
FJ3321   FMA32638   bone organ Proximal phalanx of right fourth toe
FJ3322   FMA24451   bone organ Proximal phalanx of right index finger
FJ3323   FMA24454   bone organ Proximal phalanx of right little finger
FJ3324   FMA32640   bone organ Proximal phalanx of right little toe
FJ3325   FMA24452   bone organ Proximal phalanx of right middle finger
FJ3326   FMA24453   bone organ Proximal phalanx of right ring finger
FJ3319   FMA32634   bone organ Proximal phalanx of right second toe
FJ3320   FMA32636   bone organ Proximal phalanx of right third toe
FJ3327   FMA24450   bone organ Proximal phalanx of right thumb
FJ3360   FMA24497   bone organ Right calcaneus
FJ3361   FMA24446   bone organ Right capitate
FJ3362   FMA13322   bone organ Right clavicle
FJ3364   FMA24528   bone organ Right cuboid bone
FJ3347   FMA8283    bone organ Right eighth rib
FJ3331   FMA8531    bone organ Right eleventh rib
FJ3365   FMA24474   bone organ Right femur
FJ3366   FMA24480   bone organ Right fibula
FJ3341   FMA8070    bone       Right fifth costal cartilage
FJ3358   FMA24472   bone organ Right fifth metacarpal bone
FJ3359   FMA24515   bone organ Right fifth metatarsal bone
FJ3342   FMA8066    bone organ Right fifth rib
FJ3333   FMA7875    bone       Right first costal cartilage
FJ3350   FMA24464   bone organ Right first metacarpal bone
FJ3351   FMA24507   bone organ Right first metatarsal bone
FJ3334   FMA7857    bone organ Right first rib
FJ3339   FMA7976    bone       Right fourth costal cartilage
FJ3356   FMA24470   bone organ Right fourth metacarpal bone
FJ3357   FMA24513   bone organ Right fourth metatarsal bone
FJ3340   FMA7957    bone organ Right fourth rib
FJ3367   FMA24448   bone organ Right hamate
FJ3152   FMA16586   bone organ Right hip bone
FJ3368   FMA23130   bone organ Right humerus
FJ3369   FMA54737   bone organ Right inferior nasal concha
FJ3370   FMA24523   bone organ Right intermediate cuneiform bone
FJ3371   FMA53645   bone organ Right lacrimal bone
FJ3373   FMA24525   bone organ Right lateral cuneiform bone
FJ3374   FMA24437   bone organ Right lunate
FJ3375   FMA53649   bone organ Right maxilla
FJ3377   FMA24521   bone organ Right medial cuneiform bone
FJ3378   FMA53647   bone organ Right nasal bone
FJ3348   FMA8364    bone organ Right ninth rib
FJ3379   FMA53655   bone organ Right palatine bone
FJ3380   FMA52788   bone organ Right parietal bone
FJ3381   FMA24486   bone organ Right patella
FJ3382   FMA24441   bone organ Right pisiform
FJ3349   FMA23464   bone organ Right radius
FJ3383   FMA24435   bone organ Right scaphoid
FJ3384   FMA13395   bone organ Right scapula
FJ3335   FMA7886    bone       Right second costal cartilage
FJ3352   FMA24466   bone organ Right second metacarpal bone
FJ3353   FMA24509   bone organ Right second metatarsal bone
FJ3336   FMA7882    bone organ Right second rib
FJ3345   FMA8248    bone       Right seventh costal cartilage
FJ3346   FMA8229    bone organ Right seventh rib
FJ3343   FMA8194    bone       Right sixth costal cartilage
FJ3344   FMA8175    bone organ Right sixth rib
FJ3385   FMA24482   bone organ Right talus
FJ3386   FMA52738   bone organ Right temporal bone
FJ3330   FMA8445    bone organ Right tenth rib
FJ3337   FMA7913    bone       Right third costal cartilage
FJ3354   FMA24468   bone organ Right third metacarpal bone
FJ3355   FMA24511   bone organ Right third metatarsal bone
FJ3338   FMA7909    bone organ Right third rib
FJ3387   FMA24477   bone organ Right tibia
FJ3388   FMA24443   bone organ Right trapezium
FJ3389   FMA23725   bone organ Right trapezoid
FJ3390   FMA24439   bone organ Right triquetral
FJ3332   FMA8533    bone organ Right twelfth rib
FJ3391   FMA23467   bone organ Right ulna
FJ3392   FMA52892   bone organ Right zygomatic bone
FJ3393   FMA16202   bone organ Sacrum
FJ3159   FMA13073   bone organ Second lumbar vertebra
FJ3160   FMA9187    bone organ Second thoracic vertebra
FJ3266   FMA45098   bone organ Sesamoid bone of left foot
FJ3270   FMA45098   bone organ Sesamoid bone of left foot
FJ3372   FMA45097   bone organ Sesamoid bone of right foot
